"Name","Score"
"LAMTOR4",1.02207316383468e-07
"NCAM1",1.04117908692878e-07
"RPLP2",1.08924220127021e-07
"SGCZ",1.10742602401726e-07
"TMEM179",1.15565176063637e-07
"JUN",1.15775064563972e-07
"AGAP1",1.16244263797275e-07
"KIF5A",1.19092863084709e-07
"SIL1",1.20538830091082e-07
"PRKAR2A",1.20538830091082e-07
"TMEM38A",1.20538830091082e-07
"ZNF593",1.2151091232905e-07
"ATP6V1F",1.22981279139389e-07
"ASAP1",1.23969737047323e-07
"RP11-173D3.1",1.24466443195428e-07
"C6orf106",1.24466443195428e-07
"ISG15",1.25966523389502e-07
"FXR2",1.26469885470425e-07
"CH507-528H12.1",1.30089261090739e-07
"MLF2",1.31076059448442e-07
"GRINA",1.31387778250057e-07
"ZER1",1.3369487787376e-07
"C11orf80",1.36357153844226e-07
"APOL2",1.37434360957597e-07
"NAA38",1.40158444788326e-07
"KIF1B",1.41260602680977e-07
"UQCRH",1.44610505646132e-07
"MAP3K5",1.44610505646132e-07
"CHP1",1.45741742606879e-07
"YWHAE",1.46310120494571e-07
"ARHGEF11",1.48026349221452e-07
"SYT4",1.50124726452247e-07
"CDK14",1.51509167741827e-07
"UBASH3B",1.52096222248025e-07
"AKAP6",1.52685171087674e-07
"LDB2",1.52685171087674e-07
"GNG2",1.54463432524813e-07
"PRKCZ",1.57465546239295e-07
"ELOVL7",1.58071765132527e-07
"VAT1",1.58964962381116e-07
"GS1-124K5.10",1.59902103532288e-07
"MICU1",1.59902103532288e-07
"NEAT1",1.61565593536534e-07
"FRMPD1",1.62369998701997e-07
"OPCML",1.62369998701997e-07
"SCG5",1.63615798399502e-07
"FHIT",1.64241678940641e-07
"ABCA7",1.65499426750979e-07
"PQLC1",1.66131304186544e-07
"TOLLIP",1.66765190769456e-07
"PRPF6",1.6740109160717e-07
"RAB1A",1.6740109160717e-07
"VSTM2L",1.68678956525505e-07
"PPP6R2",1.70610989060685e-07
"AVIL",1.71259083229648e-07
"TUBA4A",1.76483205799349e-07
"SYT11",1.7785364921221e-07
"HS3ST2",1.78524583300376e-07
"RAB11A",1.8073668966242e-07
"LRFN4",1.83968385143973e-07
"TMEM229B",1.84658481458345e-07
"KIFC2",1.87440479365715e-07
"PNMA3",1.8814140900387e-07
"PPP2R2C",1.90257317065672e-07
"RP11-379H8.1",1.93827888321802e-07
"RAC3",1.95271665008961e-07
"STAU1",1.98186115260908e-07
"SERGEF",1.99656877667097e-07
"SOD1",2.00124765631656e-07
"CAMK2A",2.01682251494431e-07
"NRXN1",2.02625700379749e-07
"PLEKHA5",2.07147854186315e-07
"ANXA6",2.07909659742994e-07
"CORO2B",2.07909659742994e-07
"NUAK1",2.09440276308497e-07
"CERS6",2.1098027161921e-07
"TRPC4AP",2.1098027161921e-07
"MAP1A",2.12529691592982e-07
"ZC2HC1A",2.12529691592982e-07
"ARF1",2.16444777284861e-07
"VPS9D1",2.18822542378368e-07
"RP4-678D15.1",2.20419780343664e-07
