Name,Human_Score,Mouse_Score
ADTRP,1,1
AEBP1,0.420290846,1
AEBP2,2.70E-06,0.001329937
AEN,1,9.26E-05
AFAP1,0.007290416,0.001200846
AFAP1L1,0.449494922,0.082125349
AFAP1L2,0.101655702,0.015310316
AFF1,0.003649234,0.003385229
AFF2,0.006875086,0.40610676
AFF3,7.07E-05,0.005522222
AFF4,0.000659997,3.17E-05
AFG3L2,0.002028661,9.17E-06
AFMID,0.009099339,1
AFP,1,1
AFTPH,0.000828427,7.12E-05
AGA,1,3.30E-05
AGAP1,1.16E-07,0.000943242
AGAP2,0.33341706,0.293278934
AGAP3,2.56E-05,5.29E-07
AGBL2,1,1
AGBL3,0.672449385,0.005565328
AGBL4,0.000250379,0.727747321
AGBL5,0.607084023,1
AGER,1,1
AGFG1,0.000146268,1.27E-05
AGFG2,0.002643631,1.77E-05
AGGF1,0.016582034,4.86E-05
AGK,0.099036406,0.000888273
AGL,0.262608252,0.000513846
AGMO,0.517971513,0.483480828
AGO1,0.174398567,0.419696787
AGO2,0.027195685,0.037691644
AGO3,0.005236204,0.028170375
AGO4,0.007023358,1
AGPAT1,1.52E-05,4.83E-05
AGPAT2,1.37E-05,1
AGPAT3,0.001641637,0.00015629
AGPAT4,0.022985689,9.31E-10
AGPAT5,0.000826901,6.91E-05
AGPS,0.026475372,0.000547533
AGR2,1,1
AGR3,1,1
AGRN,1,0.003711815
AGRP,1,0.009449511
AGT,0.143374606,0.006164103
AGTPBP1,5.09E-08,7.90E-08
AGTR1,1,0.000333929
AGTRAP,0.105913589,1.04E-05
AHCTF1,0.040296882,0.004118635
AHCY,1,0.500597187
AHCYL1,0.003224818,1.56E-06
AHCYL2,0.000163628,0.001187936
AHDC1,0.000168631,0.53997946
AHI1,0.006115485,6.67E-05
AHNAK,0.005002864,1.02E-06
AHNAK2,1.64E-05,1
AHRR,0.29319233,1
AHSA1,1.29E-05,2.18E-10
AICDA,1,1
AIDA,0.082758713,0.000141597
AIF1,1,0.640274678
AIF1L,0.609323609,0.249695303
AIFM1,0.402374904,1.67E-05
AIFM2,0.101781856,0.024882587
AIFM3,1,0.012646537
AIG1,0.00011553,2.26E-06
AIM2,0.000963532,1
AIMP1,0.281995245,2.19E-06
AIMP2,0.005711054,1.84E-07
AIP,0.000474215,1.39E-12
AIPL1,1,1
AIRE,1,1
AK1,6.01E-05,3.05E-10
AK2,0.006316098,1.15E-07
AK3,0.000890605,6.89E-06
AK4,0.000120718,0.902096764
AK5,1.63E-05,2.43E-05
AK7,0.31486288,1
AK8,0.959503709,0.013330836
AK9,0.008122401,1
AKAIN1,0.087358821,1
AKAP1,0.105801314,0.000318687
AKAP10,0.00115727,0.000567584
AKAP11,0.000740228,0.000346922
AKAP12,2.75E-11,4.85E-12
AKAP13,0.000113329,0.000559376
AKAP14,1,1
AKAP3,1,1
AKAP5,1,1
AKAP6,1.53E-07,1.99E-07
AKAP7,0.004305711,0.000659592
AKAP8,0.054853222,3.58E-05
AKAP8L,0.001136246,0.000117071
AKAP9,0.008199459,0.000121811
AKIP1,0.05513029,0.002357488
AKIRIN1,3.22E-05,6.05E-06
AKIRIN2,0.000236083,3.87E-06
AKNA,1,1
AKR1A1,0.054103474,2.35E-20
AKR1B1,0.030937684,0.045382242
AKR1B10,1,0.350428466
AKR1D1,1,1
AKR1E2,0.00881073,6.65E-05
AKR7L,1,2.28E-06
AKT1,0.026986246,4.83E-09
AKT2,0.103476417,8.75E-05
AKT3,6.79E-06,2.27E-05
AKTIP,0.102880667,7.19E-09
ALAD,0.047798817,0.000148698
ALAS1,0.050787241,0.00026109
ALAS2,1,0.939626555
ALCAM,6.64E-07,6.17E-08
ALDH16A1,1,0.005150172
ALDH18A1,0.005932014,0.0003914
ALDH1A1,0.6102588,1
ALDH1A2,0.405826277,1
ALDH1A3,0.121342382,0.34937386
ALDH1B1,1,0.00273276
ALDH1L1,1,0.414920757
ALDH1L2,0.016443396,0.386962465
ALDH2,0.006751333,0.000820433
ALDH3A2,0.27096646,6.92E-07
ALDH3B1,1,0.000681994
ALDH3B2,1,1
ALDH5A1,0.044281223,0.021955365
ALDH6A1,0.171259083,0.000150355
ALDH7A1,0.188633358,3.79E-05
