"HGNC.symbol","Score"
"ALOX15B",1
"ALOXE3",1
"ALPK1",1
"ALPK2",1
"ALPL",1
"ALS2",0.00380234266806231
"ALS2CL",1
"ALX3",1
"ALX4",1
"ALYREF",0.50120101485808
"AMACR",2.77854777779226e-05
"AMBN",1
"AMBRA1",0.00171647006545308
"AMD1",0.469331104638212
"AMDHD2",0.000614395228448838
"AMER1",0.068481075389958
"AMER2",0.00593740808093241
"AMER3",0.00923253864586814
"AMFR",2.44475603819707e-07
"AMH",1
"AMHR2",0.422625092634257
"AMIGO1",3.94279169347889e-06
"AMIGO2",0.000141596609718748
"AMIGO3",2.04707225714479e-07
"AMMECR1",1
"AMMECR1L",0.000424100905196817
"AMN",1
"AMN1",0.000530189590538313
"AMOT",1
"AMOTL1",7.75722419528205e-06
"AMOTL2",0.0471235348623847
"AMPD1",1
"AMPD2",7.2741376973407e-06
"AMPD3",1.37454180314365e-05
"AMPH",6.79447317310611e-07
"AMT",1
"AMTN",1
"AMZ1",0.113802047771337
"AMZ2",3.09993237361752e-06
"ANAPC1",0.000132405329065046
"ANAPC10",0.000180812554303413
"ANAPC11",4.47338873882211e-07
"ANAPC13",9.50893115921311e-06
"ANAPC15",1
"ANAPC16",3.0198905920986e-08
"ANAPC2",4.58210952692977e-08
"ANAPC4",3.3572220352162e-06
"ANAPC5",8.74155876812591e-10
"ANAPC7",1.80945051613623e-05
"ANG",1
"ANGEL1",1.60300229663948e-05
"ANGEL2",3.31608899438528e-05
"ANGPT1",1
"ANGPT2",0.090748066746669
"ANGPT4",1
"ANGPTL1",1
"ANGPTL2",0.0014115073859786
"ANGPTL3",1
"ANGPTL4",0.0304543925811371
"ANGPTL6",0.000310270958637477
"ANGPTL7",1
"ANKH",2.97424181897956e-07
"ANK1",0.00624944400562149
"ANK2",7.36359078663643e-09
"ANK3",6.29324861797609e-06
"ANKDD1B",0.129032510546624
"ANKEF1",1
"ANKFN1",1
"ANKFY1",4.90059704766455e-05
"ANKHD1",0.00790345352983318
"ANKHD1-EIF4EBP3",0.00790345352983318
"ANKIB1",0.000394167962844894
"ANKLE1",1
"ANKLE2",0.000389433743126176
