"MGI.symbol","Score"
"Mrfap1",6.84609586347716e-13
"Psma6",7.38194275380278e-13
"Lgmn",7.43755034947218e-13
"Nefh",7.66377061293523e-13
"Sdf2",7.77918670155252e-13
"Capza2",7.83747932649873e-13
"Reep1",8.01472363080988e-13
"Snx3",8.12662890750637e-13
"Pgrmc1",8.31816147175182e-13
"Ppp1r1c",8.44240358539254e-13
"Cyb5r3",8.63189980456148e-13
"Rexo2",8.69591063724979e-13
"Nars",8.82521551727467e-13
"Ran",8.82521551727467e-13
"Spcs1",9.15608206708844e-13
"Atp6ap2",9.42876775193526e-13
"Tmem50b",9.56783264537405e-13
"Cct8",9.94526875310525e-13
"Pebp1",1.05448444042955e-12
"Stmn1",1.08118253734348e-12
"Ngfrap1",1.12406135995177e-12
"Rufy3",1.14688738910094e-12
"Tmem59l",1.18875535347254e-12
"Ankrd46",1.19729216003526e-12
"Cdk5",1.22323465800616e-12
"Fbxo2",1.23199390971997e-12
"Morf4l2",1.24080957143045e-12
"Fkbp2",1.35111657949609e-12
"Timm13",1.37033555793949e-12
"Aip",1.38980022993822e-12
"Cadm1",1.45990192015408e-12
"Ufc1",1.45990192015408e-12
"Mlf2",1.49090754485435e-12
"Ptges3",1.50137368388272e-12
"Atp6v1a",1.51190590141854e-12
"Tspan3",1.60973114029388e-12
"Ppp3ca",1.62094482693979e-12
"Coa3",1.62558007560631e-12
"Bag3",1.65500898906312e-12
"Fis1",1.69932174944862e-12
"Rps15",1.71821510724939e-12
"Cops7a",1.78549384672801e-12
"Ostf1",1.83519130774172e-12
"Stip1",1.86050389672289e-12
"Cd44",1.87327764671323e-12
"Fkbp4",1.89906221060126e-12
"Ndufa10",1.92516575439223e-12
"Gabarapl2",1.9357455895735e-12
"Mif",1.97834382659732e-12
"Cltb",1.97834382659732e-12
"Arpc2",2.0054254617732e-12
"Armcx1",2.01909100048097e-12
"Tomm22",2.0886841216522e-12
"Atf4",2.0886841216522e-12
"Tmem147",2.16042868465808e-12
"Psmb2",2.16057999406404e-12
"Chmp2a",2.20453256667054e-12
"Dpysl3",2.2645979442919e-12
"Pomp",2.27984257240574e-12
"Psmb1",2.29517949866898e-12
"Cd59a",2.29517949866898e-12
"Psmd4",2.34174904195608e-12
"Rbx1",2.35746014812752e-12
"Stxbp1",2.40516432294047e-12
"Nicn1",2.42125770178715e-12
"Timp2",2.48660491180023e-12
"Got1",2.48660491180023e-12
"Scg5",2.5031877448681e-12
"Dctn2",2.53665233150693e-12
"Canx",2.55353514742813e-12
"Lamtor2",2.69228131789053e-12
"Prdx3",2.72801114477347e-12
"Eno2",2.76416716691702e-12
"Snap47",2.81921019970512e-12
"Sfr1",2.81921019970512e-12
"S100a13",2.83777589049266e-12
"Leprotl1",3.06930877897771e-12
"Vbp1",3.08934990217858e-12
"Pop5",3.27509061438289e-12
"Gcnt2",3.31770668674509e-12
"Park7",3.44856621573718e-12
"Vamp2",3.44856621573718e-12
"Nme1",3.5383676679455e-12
"Map1lc3b",3.60797271899089e-12
"Dpy30",3.70059743482526e-12
"Hpcal1",3.77215046837136e-12
"Calr",3.8694910069356e-12
"Kcnip4",3.96908643036909e-12
"Clip3",4.20166177965501e-12
"Polr2g",4.41861520447442e-12
"Rps9",4.55927905478873e-12
"Mbnl2",4.61666382306922e-12
"Ncdn",4.61666382306922e-12
"Akap12",4.85276062056893e-12
"Necap1",4.85276062056893e-12
"Dhrs1",4.91345728570219e-12
"2010107E04Rik",4.92006176148913e-12
"Bcam",4.9748363540456e-12
"Rpl32",5.00578391560343e-12
"Hspd1",5.00578391560343e-12
"Cyc1",5.11511546502448e-12
"Vti1b",5.25967092550451e-12
"Atp6v1g2",5.29220822442765e-12
"Ndufa11",5.42323543533592e-12
"Psmd12",5.49126534840369e-12
"Cript",5.52508886681069e-12
"Kif5b",5.69703577411539e-12
"Ccdc92",5.85966186156384e-12
"Ppp1r2",6.08401993418675e-12
"Maea",6.09238650522801e-12
"Psmc1",6.20716701938204e-12
"Actr1a",6.24216121728721e-12
"Atp6ap1",6.28011890796946e-12
"Tpd52",6.43403585526459e-12
"Ap1s1",6.5122602670258e-12
"Acyp2",6.59133958119663e-12
"Rap1gds1",6.59133958119663e-12
"Vdac2",6.63120241610402e-12
"Stat3",6.79283267324889e-12
"Dusp26",6.91637281835255e-12
"Ndufa3",6.99985248268812e-12
"Ctxn3",7.3621118361463e-12
"Pkm",7.3621118361463e-12
"Tmx2",7.43101246061458e-12
"Prelid1",7.43101246061458e-12
"Klf7",7.71506360060778e-12
"Fkbp8",7.88592872545719e-12
"Pef1",7.93277105297927e-12
"Kif21a",8.12265496671531e-12
"Cfl2",8.26774177325623e-12
"Tomm34",8.26774177325623e-12
"Tcf25",8.31110479451007e-12
"Stx7",8.36575773617442e-12
"Rangap1",8.51474332420562e-12
"Pcp4l1",8.51474332420562e-12
"Snhg11",8.54494756358216e-12
"Eif4h",8.61538925509753e-12
"Gdi2",8.6661126268369e-12
"Anxa6",8.78792129299374e-12
"Psma1",9.02876854763254e-12
"Actr1b",9.1883303374626e-12
"Cwc15",9.24207882809873e-12
"Tcp1",9.24207882809873e-12
"Pmvk",9.29611012212947e-12
"Tspyl1",9.45991407056864e-12
"Guk1",9.53984040460059e-12
"Resp18",1.02001674514923e-11
"Eepd1",1.07427664899194e-11
"Msn",1.08046307984883e-11
"Psap",1.09663358964456e-11
"Pfdn1",1.09921523131314e-11
"Ssb",1.10553072827569e-11
"Rraga",1.15724234035266e-11
"Sucla2",1.16385702586281e-11
"Dnm1l",1.23190018902124e-11
"Slc48a1",1.23889761542963e-11
"Rab6a",1.24593079357757e-11
"Prkcd",1.28163866269866e-11
"Isl1",1.38657373747452e-11
"Parm1",1.38820810380024e-11
"Sbds",1.4258842867424e-11
"Ndufa13",1.45805180130979e-11
"Sdha",1.46619504654652e-11
"Endod1",1.48260444754835e-11
"Psmd14",1.5013838355387e-11
"Sod1",1.5144511381581e-11
"Qdpr",1.52435349853086e-11
"Acot13",1.53282917059863e-11
"Cct5",1.5437006776678e-11
"Ndufb8",1.59335639500771e-11
"Eif3h",1.61994866342995e-11
"Srxn1",1.61994866342995e-11
"Fdft1",1.64693969705015e-11
"Cisd3",1.65078689536948e-11
"F2rl2",1.75899854162044e-11
"Stx12",1.7783280044056e-11
"Mtmr6",1.79784842617589e-11
"Tspan7",1.81756148199725e-11
"Ndufs8",1.82869785276836e-11
"Maged1",1.85994948063589e-11
"Ndufb11",1.88809865658101e-11
"Nt5c",1.90869964090156e-11
"Scd2",1.94986560586289e-11
"Rplp0",1.95050960585055e-11
"Rps14",1.95656950033391e-11
"Mt3",2.05799740902154e-11
"Snx7",2.09214680700501e-11
"Kifap3",2.10341608690031e-11
"Vapa",2.24297426216274e-11
"Gyg",2.25497195663597e-11
"Chp1",2.27372908140695e-11
"Mien1",2.27372908140695e-11
"Zcchc18",2.27914077442217e-11
"Ndufc1",2.29131239218475e-11
"Atp6v1c1",2.34058606749197e-11
"Malat1",2.35872486409079e-11
"Rnf187",2.42911459744739e-11
"Thy1",2.42911459744739e-11
"Psmd8",2.50738236856696e-11
"Eif1",2.68480116934384e-11
"Hagh",2.69890568771681e-11
"Mid1ip1",2.7228112027707e-11
"Mrpl20",2.72731496293486e-11
"Tpm1",2.74162028047374e-11
"Ywhaq",2.79951933971783e-11
"Sh3glb2",2.81416497422047e-11
"Pja2",2.82887952921823e-11
"Ppm1j",2.84366329285478e-11
"Cacnb3",2.90349623360669e-11
"Atp9a",2.91863039958261e-11
"Rps3",2.96445983938706e-11
"Gde1",2.99537155351538e-11
"Pitpnc1",2.9995623410589e-11
"Cox6c",3.01093593334717e-11
"Tmem14c",3.13809546865947e-11
"Rab2a",3.20347014084856e-11
"Nrip3",3.2200041440418e-11
"Snx6",3.2700680013411e-11
"Hn1",3.29240719407612e-11
"Banf1",3.33790935146153e-11
"Vamp4",3.33790935146153e-11
"Eif3c",3.47740520060719e-11
"Rrp1",3.49520605907744e-11
"Rbms3",3.51308888604060e-11
"Rab7",3.54444757018495e-11
"Tomm5",3.62212604909896e-11
"Gpi1",3.69649979320269e-11
"Cox5a",3.73348290844542e-11
"Aurkaip1",3.73419962220091e-11
"Arf4",3.75317899543631e-11
"Gm7271",3.82763914521844e-11
"Cd81",4.02816355386574e-11
"Cmpk1",4.04848211689093e-11
"Ndufs7",4.07963997844015e-11
"Sdf4",4.08939619648826e-11
"Ppp1r11",4.10999245768185e-11
"Rpl13a",4.22533392208845e-11
"Gnao1",4.30640567712977e-11
"Calm3",4.40696860228519e-11
"Jak1",4.43034667839602e-11
"Triap1",4.45248176496738e-11
"Dctn5",4.54202092410538e-11
"Ypel3",4.54684638400282e-11
"mt-Cytb",4.57832341119601e-11
"Emc4",4.57921330953215e-11
"Arl8a",4.82044633514606e-11
"Cnn3",4.82044633514606e-11
"Dbi",5.0392448511393e-11
"Otub1",5.06409927660231e-11
"Kif5a",5.24119235511223e-11
"Pdha1",5.45039462518473e-11
"Sub1",5.47706643278712e-11
"Kif1a",5.5849323683983e-11
"Arpc1b",5.5849323683983e-11
"App",5.61219583637592e-11
"Atp6v1d",5.66708240622369e-11
"Sae1",5.66708240622369e-11
"Syp",5.72245160986308e-11
"Pfdn5",5.75031837607443e-11
"Ndufa7",5.77830721600742e-11
"Idh1",5.77830721600742e-11
"Tmed4",5.83465301909495e-11
"Laptm4a",5.87390975096875e-11
"Nsf",5.89149283943912e-11
"mt-Nd1",6.01004889423757e-11
"Cdkn2d",6.09608922282027e-11
"Fgf12",6.1534892404801e-11
"AI413582",6.27917202817899e-11
"Ubc",6.3951277839676e-11
"Rheb",6.67715235394145e-11
"Rab6b",6.93718478964183e-11
"Arl6ip5",7.03702264662371e-11
"Cnih1",7.12594610238102e-11
"Ube2a",7.24058707481976e-11
"Atp5o",7.37540285349726e-11
"Ivns1abp",7.44943603041918e-11
"Eef1b2",7.59166446220895e-11
"Nap1l4",7.62760126912424e-11
"Fhl1",7.66369110690416e-11
"Psma4",7.73633219287849e-11
"Itm2c",7.92065371164703e-11
"Rab14",7.95798880109826e-11
"Hspa9",8.37925550448569e-11
"Hsbp1l1",8.69812412553445e-11
"Pou4f1",8.76400618993004e-11
"Pafah1b2",8.77952853887253e-11
"Hnrnpk",8.86161797796347e-11
"Snapin",8.94439756207431e-11
"Cystm1",9.13997864408815e-11
"Araf",9.15439980428613e-11
"Ehd3",9.15439980428613e-11
"Mcts1",9.19692887997356e-11
"Hnrnpa2b1",9.28252090851692e-11
"Napb",9.28252090851692e-11
"Arpc3",9.45585902864421e-11
"Fgf1",9.72133172755941e-11
"Mal2",9.74479388168719e-11
"Taldo1",9.9867988541172e-11
"Elovl5",1.00395145860929e-10
"Rps29",1.01788923867863e-10
"Psmd2",1.02349500535871e-10
"Map2k1",1.04146058344384e-10
"Tspan8",1.04146058344384e-10
"Cd47",1.04146058344384e-10
"Snapc5",1.0462368218317e-10
"Isl2",1.10009196802254e-10
"Mea1",1.13564953239542e-10
"Cd55",1.13596540670505e-10
"Plekhb2",1.15642937590084e-10
"Apoe",1.15697678260163e-10
"Arpc4",1.18288510702491e-10
"Pla2g7",1.2085943552901e-10
"Scamp3",1.20988430442527e-10
"Ube2n",1.21535022839996e-10
"Ier3ip1",1.311735936701e-10
"G3bp2",1.35943031530061e-10
"Eif3g",1.37159515981566e-10
"Atp5j",1.3756074230706e-10
"Trim36",1.38385788806915e-10
"Tcta",1.39621919953936e-10
"Gpx3",1.40243704376189e-10
"Ola1",1.40867979807428e-10
"Pcbp4",1.41494755114413e-10
"Rpl14",1.43390169371964e-10
"Dctn6",1.45308404373029e-10
"Dnaja1",1.4724970402391e-10
"Eif3k",1.47901971869671e-10
"Pdia3",1.49135741903862e-10
"Mrps6",1.49874407736607e-10
"Cops5",1.50138253203761e-10
"Ccdc124",1.51733030472948e-10
"Txndc17",1.5456913689989e-10
"Hsp90b1",1.55250507363397e-10
"Mob4",1.5593457988703e-10
"Pdrg1",1.56279949469179e-10
"Serpina3n",1.56621363991361e-10
"Cox5b",1.58189919909879e-10
"Uqcrfs1",1.60799548670406e-10
"Comt",1.61505582889846e-10
"Gipc1",1.61505582889846e-10
"Slc25a11",1.62214405917281e-10
"Hnrnpc",1.65800696787423e-10
"Timm10",1.67986568044515e-10
"Nipsnap1",1.72436289122975e-10
"Idh3b",1.73762229815092e-10
"Psmb7",1.75461411030899e-10
"Slc25a39",1.75461411030899e-10
"Atp5j2",1.76991810634624e-10
"Lgals9",1.76991810634624e-10
"Kif3a",1.77761506373207e-10
"Carhsp1",1.83234278355972e-10
"Atp5e",1.84028358507923e-10
"Atp1a1",1.85625817010006e-10
"Nenf",1.85625817010006e-10
"Tmem45b",1.86429216840186e-10
"Dbnl",1.86429216840186e-10
"Gnaq",1.89222635874447e-10
"Scd1",1.90460964735636e-10
"Dazap2",1.92969939996835e-10
"Cpeb1",1.95475466160926e-10
"Ap1m1",1.99716471940625e-10
"Ddx5",2.03168703417142e-10
"Ndufa6",2.04914878497165e-10
"Psmc4",2.05793021067112e-10
"Tfg",2.07559474075633e-10
"Cops2",2.10234747727447e-10
"Hars",2.12642599650169e-10
"Scoc",2.14016023560884e-10
"Surf4",2.15678595798954e-10
"Ahsa1",2.17521204108262e-10
"Jkamp",2.17521204108262e-10
"Cox7c",2.21088523425338e-10
"Ap2a2",2.21248984369997e-10
"Arl8b",2.21248984369997e-10
"Uqcrc2",2.25290008445828e-10
"Psma5",2.31122229316205e-10
"Ndufa9",2.3574580012408e-10
"Dnaja2",2.38745706855183e-10
"Bnip3",2.39753283798763e-10
"Taf13",2.39753283798763e-10
"Prdx1",2.41779926879146e-10
"Bnip3l",2.41779926879146e-10
"Mcfd2",2.43821975105364e-10
"Creld1",2.45879532477932e-10
"Aes",2.46293269309679e-10
"Ckmt1",2.46914159762014e-10
"Cyfip2",2.46914159762014e-10
"Cct4",2.46914159762014e-10
"Mrpl27",2.52146308704882e-10
"Lgals8",2.53204633754204e-10
"Apbb1",2.59638974620975e-10
"Trnp1",2.60696246334347e-10
"Anxa7",2.61816228077042e-10
"Csde1",2.68446938419125e-10
"Pja1",2.72950977944238e-10
"Tspan13",2.72950977944238e-10
"Pcbp1",2.74121437150307e-10
"Hspb1",2.83334706311942e-10
"Tmem184c",2.84510123465459e-10
"Tspyl4",2.84589445631135e-10
"Mapre2",2.88062753888082e-10
"Acat2",2.91763769178265e-10
"Tmem30a",2.9286169120777e-10
"Dad1",2.98961489530444e-10
"Acadl",2.99098175776916e-10
"Cbfb",3.00195081733703e-10
"Rpl19",3.00861911335137e-10
"Dnajc8",3.0267601890022e-10
"Ak1",3.05175393988503e-10
"Rbms1",3.1278536731825e-10
"Ndufv1",3.23302037719042e-10
"Dync1i2",3.25848912473504e-10
"Rps27l",3.27181898620035e-10
"Actr3",3.29862604019343e-10
"Pcsk1n",3.30099614581347e-10
"Impdh1",3.40784234974901e-10
"Scn10a",3.42172073580626e-10
"Pls3",3.4496302140384e-10
"Tmem176b",3.4496302140384e-10
"Ptprn",3.50606464615603e-10
"Hdgf",3.577775524917e-10
"Selk",3.58635267308427e-10
"Ostc",3.60682754392845e-10
"Tmem208",3.60682754392845e-10
"Dtd1",3.63609170648024e-10
"Nbl1",3.65080377124022e-10
"Ift20",3.66556938844682e-10
"Tm2d2",3.71018928923357e-10
"Tmeff2",3.71018928923357e-10
"H3f3b",3.81957120398302e-10
"Map7d2",3.81957120398302e-10
"Myl6",3.84699742471873e-10
"Ypel5",3.89359889209582e-10
"Htatip2",3.89359889209582e-10
"Uqcrb",3.90006632330775e-10
"Surf1",3.90924524015828e-10
"Trappc3",3.90924524015828e-10
"Tomm7",3.94070781104978e-10
"Dync1i1",3.94070781104978e-10
"Psma2",3.96000667372654e-10
"Spag7",3.98385287496422e-10
"Oxct1",4.02036368937575e-10
"Rpl38",4.03254929334745e-10
"Synpr",4.05615805013371e-10
"Rnh1",4.10146576843329e-10
"Wdr1",4.18403734056654e-10
"Tsc22d3",4.18403734056654e-10
"Cs",4.23429545267091e-10
"Uqcrc1",4.25116849477762e-10
"Dram2",4.30215132531323e-10
"Mrpl28",4.3364448993451e-10
"Ccndbp1",4.35368377534106e-10
"Mat2a",4.440806876438e-10
"Ldhb",4.46181843301559e-10
"Pfdn2",4.47609320012748e-10
"Ociad1",4.51163166788233e-10
"Tgoln1",4.51163166788233e-10
"Lamp1",4.52949595552329e-10
"Cltc",4.59576694577947e-10
"Mrpl34",4.6015914912116e-10
"Lrpap1",4.63802512372457e-10
"Tprgl",4.84309135561039e-10
"Sar1a",4.86213238250898e-10
"Stoml1",4.90041669440135e-10
"Abhd12",4.95835199116923e-10
"Sqle",4.97780029754364e-10
"Pink1",5.15594923986921e-10
"Pacsin1",5.22851868577754e-10
"Rnf181",5.38146795333122e-10
"Ndufs4",5.40240341821026e-10
"Isca2",5.44545692102882e-10
"Ttc1",5.55101609241078e-10
"Dda1",5.55101609241078e-10
"Cda",5.5725441483261e-10
"Mrps21",5.60526653100901e-10
"Morn4",5.6375799222091e-10
"Rcan2",5.65940982719245e-10
"Nedd4",5.68131577975829e-10
"Srsf5",5.74749228009539e-10
"Slc25a1",5.76970478332826e-10
"Hk1",5.90461002614088e-10
"Psmd6",6.06498807125251e-10
"Vps29",6.08889852440371e-10
"Vps4a",6.18297005068032e-10
"Spop",6.20669137259425e-10
"Lypla2",6.21561080721281e-10
"Ssu72",6.23049457050719e-10
"Ncbp2",6.35074751233958e-10
"Syt5",6.37504726308117e-10
"Vstm5",6.39529387718797e-10
"Ly86",6.3994306617564e-10
"Adprh",6.59754002323639e-10
"Eml1",6.64792191252873e-10
